country,year_month,PCPI_IX,date
BO,1998-04,58.3054369711249,1998-04-01
BO,1998-05,58.4910693319591,1998-05-01
BO,1998-06,58.6260746852931,1998-06-01
BO,1998-07,58.761080038627,1998-07-01
BO,1998-08,58.7779557077939,1998-08-01
BO,1998-09,58.7442043694603,1998-09-01
BO,1998-10,59.3264149557132,1998-10-01
BO,1998-11,59.34329062488,1998-11-01
BO,1998-12,59.2504744444629,1998-12-01
BO,1999-01,59.3348527902966,1999-01-01
BO,1999-02,59.5626743240477,1999-02-01
BO,1999-03,59.3095392865465,1999-03-01
BO,1999-04,59.2167231061293,1999-04-01
BO,1999-05,59.2673501136296,1999-05-01
BO,1999-06,59.4867338127974,1999-06-01
BO,1999-07,59.6048634969646,1999-07-01
BO,1999-08,59.9170633765495,1999-08-01
BO,1999-09,60.2714524290513,1999-09-01
BO,1999-10,60.7017819928035,1999-10-01
BO,1999-11,60.7439711657203,1999-11-01
BO,1999-12,61.1067980528054,1999-12-01
BO,2000-01,61.4274357669737,2000-01-01
BO,2000-02,61.680570804475,2000-02-01
BO,2000-03,62.060273360727,2000-03-01
BO,2000-04,62.6593596161466,2000-04-01
BO,2000-05,61.8746409998927,2000-05-01
BO,2000-06,61.9927706840599,2000-06-01
BO,2000-07,62.4399759169788,2000-07-01
BO,2000-08,62.6846731198967,2000-08-01
BO,2000-09,63.8406564578192,2000-09-01
BO,2000-10,64.6928777507401,2000-10-01
BO,2000-11,63.0475000069819,2000-11-01
BO,2000-12,63.1909431948992,2000-12-01
BO,2001-01,63.3343863828166,2001-01-01
BO,2001-02,63.3175107136499,2001-02-01
BO,2001-03,63.1740675257325,2001-03-01
BO,2001-04,63.3006350444831,2001-04-01
BO,2001-05,63.1909431948992,2001-05-01
BO,2001-06,63.6550240969849,2001-06-01
BO,2001-07,64.4144292094886,2001-07-01
BO,2001-08,63.9925374803199,2001-08-01
BO,2001-09,63.8237807886523,2001-09-01
BO,2001-10,63.8744077961527,2001-10-01
BO,2001-11,63.7309646082353,2001-11-01
BO,2001-12,63.7731537811521,2001-12-01
BO,2002-01,63.7647159465688,2002-01-01
BO,2002-02,63.8997212999028,2002-02-01
BO,2002-03,63.7056511044851,2002-03-01
BO,2002-04,63.6887754353184,2002-04-01
BO,2002-05,63.7140889390686,2002-05-01
BO,2002-06,63.7815916157355,2002-06-01
BO,2002-07,64.0431644878201,2002-07-01
BO,2002-08,64.1866076757375,2002-08-01
BO,2002-09,64.4819318861557,2002-09-01
BO,2002-10,64.8278831040741,2002-10-01
BO,2002-11,65.1822721565759,2002-11-01
BO,2002-12,65.3341531790766,2002-12-01
BO,2003-01,65.5957260511612,2003-01-01
BO,2003-02,65.4522828632438,2003-02-01
BO,2003-03,65.4944720361608,2003-03-01
BO,2003-04,65.6969800661617,2003-04-01
BO,2003-05,65.7054179007451,2003-05-01
BO,2003-06,65.8404232540792,2003-06-01
BO,2003-07,66.2370014794978,2003-07-01
BO,2003-08,66.6588932086665,2003-08-01
BO,2003-09,66.8192120657507,2003-09-01
BO,2003-10,67.6545576895049,2003-10-01
BO,2003-11,67.3001686370031,2003-11-01
BO,2003-12,67.9076927270061,2003-12-01
BO,2004-01,68.3211466215916,2004-01-01
BO,2004-02,68.4561519749256,2004-02-01
BO,2004-03,68.2705196140913,2004-03-01
BO,2004-04,68.287395283258,2004-04-01
BO,2004-05,68.5658438245095,2004-05-01
BO,2004-06,69.0805517340953,2004-06-01
BO,2004-07,69.4433786211805,2004-07-01
BO,2004-08,69.6880758240983,2004-08-01
BO,2004-09,69.6712001549316,2004-09-01
BO,2004-10,70.2365350720178,2004-10-01
BO,2004-11,70.6162376282697,2004-11-01
BO,2004-12,71.0465671920219,2004-12-01
BO,2005-01,72.01691816911,2005-01-01
BO,2005-02,72.0455930320083,2005-02-01
BO,2005-03,72.1602924836015,2005-03-01
BO,2005-04,71.9022187175167,2005-04-01
BO,2005-05,72.3753539553389,2005-05-01
BO,2005-06,73.493673608373,2005-06-01
BO,2005-07,73.1495752535933,2005-07-01
BO,2005-08,73.4076490196781,2005-08-01
BO,2005-09,73.5223484712714,2005-09-01
BO,2005-10,73.7947596688053,2005-10-01
BO,2005-11,74.1101831606867,2005-11-01
BO,2005-12,74.5259686727123,2005-12-01
BO,2006-01,74.8270547331445,2006-01-01
BO,2006-02,75.056453636331,2006-02-01
BO,2006-03,74.8557295960428,2006-03-01
BO,2006-04,74.9560916161869,2006-04-01
BO,2006-05,75.5869385999498,2006-05-01
BO,2006-06,76.0600738377719,2006-06-01
BO,2006-07,76.4901967812466,2006-07-01
BO,2006-08,76.6335710957382,2006-08-01
BO,2006-09,76.6909208215348,2006-09-01
BO,2006-10,77.0493566077637,2006-10-01
BO,2006-11,77.6228538657299,2006-11-01
BO,2006-12,78.2106885551453,2006-12-01
BO,2007-01,79.3290082081795,2007-01-01
BO,2007-02,80.0028674862898,2007-02-01
BO,2007-03,80.2322663894763,2007-03-01
BO,2007-04,80.0315423491881,2007-04-01
BO,2007-05,80.389978135417,2007-05-01
BO,2007-06,81.0781748449765,2007-06-01
BO,2007-07,83.243126993799,2007-07-01
BO,2007-08,84.5621706871214,2007-08-01
BO,2007-09,84.7342198645112,2007-09-01
BO,2007-10,85.7808523602996,2007-10-01
BO,2007-11,86.8418222875372,2007-11-01
BO,2007-12,87.3866446826051,2007-12-01
BO,2008-01,88.3329151582494,2008-01-01
BO,2008-02,90.6555790530126,2008-02-01
BO,2008-03,91.5301623714111,2008-03-01
BO,2008-04,92.2040216495215,2008-04-01
BO,2008-05,93.9388508548693,2008-05-01
BO,2008-06,95.1145202337001,2008-06-01
BO,2008-07,95.5589806086239,2008-07-01
BO,2008-08,96.1754901609376,2008-08-01
BO,2008-09,97.0213986164378,2008-09-01
BO,2008-10,97.1934477938277,2008-10-01
BO,2008-11,97.3224846768701,2008-11-01
BO,2008-12,97.7382701888956,2008-12-01
BO,2009-01,98.0967059751245,2009-01-01
BO,2009-02,98.0250188178787,2009-02-01
BO,2009-03,97.5375461486074,2009-03-01
BO,2009-04,97.1217606365819,2009-04-01
BO,2009-05,96.9353740277429,2009-05-01
BO,2009-06,97.1360980680311,2009-06-01
BO,2009-07,96.9353740277429,2009-07-01
BO,2009-08,97.5375461486074,2009-08-01
BO,2009-09,97.6522456002007,2009-09-01
BO,2009-10,97.953331660633,2009-10-01
BO,2009-11,97.766945051794,2009-11-01
BO,2009-12,97.9963439549804,2009-12-01
BO,2010-01,98.1683931323703,2010-01-01
BO,2010-02,98.326104878311,2010-02-01
BO,2010-03,98.2114054267178,2010-03-01
BO,2010-04,98.2974300154127,2010-04-01
BO,2010-05,98.2830925839636,2010-05-01
BO,2010-06,98.4264668984551,2010-06-01
BO,2010-07,99.0286390193197,2010-07-01
BO,2010-08,100.075271515108,2010-08-01
BO,2010-09,100.849492813363,2010-09-01
BO,2010-10,102.08251191799,2010-10-01
BO,2010-11,103.215169002473,2010-11-01
BO,2010-12,105.036022796516,2010-12-01
BO,2011-01,106.398078784186,2011-01-01
BO,2011-02,108.161582852432,2011-02-01
BO,2011-03,109.122190759525,2011-03-01
BO,2011-04,109.150865622424,2011-04-01
BO,2011-05,109.365927094161,2011-05-01
BO,2011-06,109.523638840102,2011-06-01
BO,2011-07,110.097136098068,2011-07-01
BO,2011-08,110.512921610093,2011-08-01
BO,2011-09,110.857019964873,2011-09-01
BO,2011-10,111.387504928492,2011-10-01
BO,2011-11,111.745940714721,2011-11-01
BO,2011-12,112.290763109789,2011-12-01
BO,2012-01,112.620524033119,2012-01-01
BO,2012-02,113.179683859636,2012-02-01
BO,2012-03,113.509444782967,2012-03-01
BO,2012-04,113.695831391806,2012-04-01
BO,2012-05,114.254991218323,2012-05-01
BO,2012-06,114.498727552959,2012-06-01
BO,2012-07,114.928850496433,2012-07-01
BO,2012-08,115.344636008459,2012-08-01
BO,2012-09,115.774758951934,2012-09-01
BO,2012-10,116.204881895408,2012-10-01
BO,2012-11,116.764041721925,2012-11-01
BO,2012-12,117.380551274239,2012-12-01
BO,2013-01,118.169110003943,2013-01-01
BO,2013-02,118.928993870748,2013-02-01
BO,2013-03,119.23007993118,2013-03-01
BO,2013-04,119.316104519875,2013-04-01
BO,2013-05,119.645865443206,2013-05-01
BO,2013-06,120.004301229435,2013-06-01
BO,2013-07,120.735510233342,2013-07-01
BO,2013-08,122.355639987096,2013-08-01
BO,2013-09,124.018782035198,2013-09-01
BO,2013-10,124.922040216495,2013-10-01
BO,2013-11,124.893365353597,2013-11-01
BO,2013-12,124.993727373741,2013-12-01
BO,2014-01,125.323488297072,2014-01-01
BO,2014-02,126.269758772716,2014-02-01
BO,2014-03,126.527832538801,2014-03-01
BO,2014-04,126.742894010538,2014-04-01
BO,2014-05,127.273378974157,2014-05-01
BO,2014-06,128.807484139216,2014-06-01
BO,2014-07,129.753754614861,2014-07-01
BO,2014-08,129.839779203556,2014-08-01
BO,2014-09,129.352306534284,2014-09-01
BO,2014-10,129.467005985878,2014-10-01
BO,2014-11,130.398939030073,2014-11-01
BO,2014-12,131.488583820209,2014-12-01
BO,2015-01,132.750277787734,2015-01-01
BO,2015-02,133.194738162658,2015-02-01
BO,2015-03,132.549553747446,2015-03-01
BO,2015-04,131.990393920929,2015-04-01
BO,2015-05,132.463529158751,2015-05-01
BO,2015-06,132.922326965124,2015-06-01
BO,2015-07,133.725223126277,2015-07-01
BO,2015-08,133.997634323811,2015-08-01
BO,2015-09,134.628481307574,2015-09-01
BO,2015-10,135.072941682497,2015-10-01
BO,2015-11,135.144628839743,2015-11-01
BO,2015-12,135.37402774293,2015-12-01
BO,2016-01,135.918850137998,2016-01-01
BO,2016-02,136.721746299151,2016-02-01
BO,2016-03,136.89379547654,2016-03-01
BO,2016-04,137.424280440159,2016-04-01
BO,2016-05,139.11609735116,2016-05-01
BO,2016-06,138.442238073049,2016-06-01
BO,2016-07,138.485250367397,2016-07-01
BO,2016-08,138.671636976236,2016-08-01
BO,2016-09,139.288146528549,2016-09-01
BO,2016-10,139.804294060719,2016-10-01
BO,2016-11,140.377791318685,2016-11-01
BO,2016-12,140.779239399262,2016-12-01
BO,2017-01,140.922613713753,2017-01-01
BO,2017-02,141.453098677372,2017-02-01
BO,2017-03,141.467436108821,2017-03-01
BO,2017-04,140.879601419406,2017-04-01
BO,2017-05,140.850926556507,2017-05-01
BO,2017-06,140.994300870999,2017-06-01
BO,2017-07,142.040933366787,2017-07-01
BO,2017-08,143.173590451271,2017-08-01
BO,2017-09,144.320584967203,2017-09-01
BO,2017-10,144.005161475322,2017-10-01
BO,2017-11,144.119860926915,2017-11-01
BO,2017-12,144.607333596186,2017-12-01
BO,2018-01,145.05179397111,2018-01-01
BO,2018-02,145.510591777483,2018-02-01
BO,2018-03,145.324205168644,2018-03-01
BO,2018-04,145.123481128356,2018-04-01
BO,2018-05,145.295530305746,2018-05-01
BO,2018-06,145.453242051686,2018-06-01
BO,2018-07,145.524929208932,2018-07-01
BO,2018-08,145.768665543568,2018-08-01
BO,2018-09,145.639628660525,2018-09-01
BO,2018-10,145.89770242661,2018-10-01
BO,2018-11,146.284813075737,2018-11-01
BO,2018-12,146.786623176458,2018-12-01
BO,2019-01,147.116384099788,2019-01-01
BO,2019-02,146.901322628051,2019-02-01
BO,2019-03,146.872647765153,2019-03-01
BO,2019-04,147.073371805441,2019-04-01
BO,2019-05,147.747231083551,2019-05-01
BO,2019-06,147.976629986738,2019-06-01
BO,2019-07,148.312004174917,2019-07-01
BO,2019-08,149.055890223162,2019-08-01
BO,2019-09,148.934507038245,2019-09-01
BO,2019-10,149.604489765941,2019-10-01
